"","Sample_Year","Sample_Plot","Sample_Depth","min_CH4_ppm","max_CH4_ppm","mean_CH4_ppm","sd_CH4_ppm","min_CO2_ppm","max_CO2_ppm","mean_CO2_ppm","sd_CO2_ppm"
"1","2023","Control","10",1,3,2,0,1379,9538,4453,1775
"2","2023","Control","20",0,2,1,0,3106,53218,11618,6824
"3","2023","Control","35",0,2,1,0,3544,25741,13266,4926
"4","2023","Control","50",0,3,1,0,873,29857,15676,4886
"5","2023","Control","ATM",2,3,2,0,409,986,646,176
"6","2023","Freshwater","10",1,3,2,1,1084,37417,10514,8077
"7","2023","Freshwater","20",0,3,1,1,57,44444,19544,10799
"8","2023","Freshwater","35",0,3,1,1,3411,47967,16338,9327
"9","2023","Freshwater","50",0,3,1,1,5648,70256,23745,12639
"10","2023","Freshwater","ATM",2,3,2,0,316,1104,579,225
"11","2023","Saltwater","10",1,8,2,2,1336,45985,11263,9354
"12","2023","Saltwater","20",0,6,2,1,4914,60203,24159,11920
"13","2023","Saltwater","35",0,4,2,1,6798,59635,22860,11402
"14","2023","Saltwater","50",0,6,2,1,3699,55894,24558,11272
"15","2023","Saltwater","ATM",2,3,2,0,385,1719,693,391
"16","2024","Control","10",1,3,1,1,981,18565,4675,2767
"17","2024","Control","20",0,3,1,1,2512,34848,10928,5428
"18","2024","Control","35",0,2,1,1,3423,50541,14422,6571
"19","2024","Control","50",0,2,1,1,5542,41802,17737,5844
"20","2024","Control","ATM",2,3,2,1,204,4678,728,1069
"21","2024","Freshwater","10",0,3,2,1,699,48088,9005,8922
"22","2024","Freshwater","20",0,2,1,0,1356,52893,13739,10561
"23","2024","Freshwater","35",0,2,1,1,2182,39719,13664,8290
"24","2024","Freshwater","50",0,2,1,1,3350,48771,17101,9285
"25","2024","Freshwater","ATM",2,3,2,0,176,923,487,209
"26","2024","Saltwater","10",0,11,3,2,906,55223,12657,11755
"27","2024","Saltwater","20",0,12,2,2,3444,62139,23479,13616
"28","2024","Saltwater","35",0,10,3,2,372,69129,23189,13126
"29","2024","Saltwater","50",0,6,2,1,6165,67180,25583,12600
"30","2024","Saltwater","ATM",2,3,2,0,213,4552,818,1048
