Model:	LI-7810
SN:	TG10-01286
Software Version:	2.1.41
Timestamp:	2022-03-08 12:24:57
Timezone:	US/Eastern
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1646760297	302166938	28	256	""	2022-03-08	12:24:57	nan	nan	nan	101.664	18.2103	101.754	25.4291	0	0	18.1947	-16000	0	16.3903	 89
DATA	1646760298	302124023	32	256	""	2022-03-08	12:24:58	nan	nan	nan	101.708	18.2103	101.787	33.648	0	0	18.1947	-16000	0	16.3828	 29
DATA	1646760299	302081108	36	256	""	2022-03-08	12:24:59	nan	nan	nan	101.711	18.2105	101.789	40.0635	0	0	18.1947	-16000	0	16.3597	 84
DATA	1646760300	302041053	40	256	""	2022-03-08	12:25:00	nan	nan	nan	101.713	18.212	101.789	44.8862	0	0	18.1949	-16000	0	16.1792	  6
DATA	1646760301	302031040	44	256	""	2022-03-08	12:25:01	nan	nan	nan	101.714	18.2165	101.789	45.9214	0	0	18.1957	-16000	0	15.9968	 69
DATA	1646760302	302031040	48	256	""	2022-03-08	12:25:02	nan	nan	nan	101.715	18.2248	101.79	46.069	0	0	18.2001	-16000	0	15.9921	200
DATA	1646760303	302031040	52	256	""	2022-03-08	12:25:03	nan	nan	nan	101.715	18.2367	101.789	46.1329	0	0	18.2105	-16000	0	15.9881	 57
DATA	1646760304	302031040	56	256	""	2022-03-08	12:25:04	nan	nan	nan	101.716	18.2516	101.789	46.1698	0	0	18.2254	-16000	0	15.9799	 82
DATA	1646760305	302031040	60	256	""	2022-03-08	12:25:05	nan	nan	nan	101.715	18.2687	101.79	46.1941	0	0	18.2432	-16000	0	15.9795	 16
DATA	1646760306	302031040	64	256	""	2022-03-08	12:25:06	nan	nan	nan	101.715	18.2867	101.79	46.2102	0	0	18.2609	-16000	0	15.9803	  8
DATA	1646760307	302031040	68	256	""	2022-03-08	12:25:07	nan	nan	nan	101.715	18.3077	101.791	46.2237	0	0	18.2809	-16000	0	15.9776	 77
DATA	1646760308	301723003	72	256	""	2022-03-08	12:25:08	nan	nan	nan	101.717	18.3303	101.791	46.2334	0	0	18.3017	-16000	0	15.9748	 63
DATA	1646760309	301723003	76	256	""	2022-03-08	12:25:09	nan	nan	nan	101.715	18.3542	101.79	46.2399	0	0	18.3229	-16000	0	15.9721	 30
DATA	1646760310	301723003	80	256	""	2022-03-08	12:25:10	nan	nan	nan	101.716	18.3785	101.79	46.2451	0	0	18.3446	-16000	0	15.9693	 17
DATA	1646760311	301723003	84	256	""	2022-03-08	12:25:11	nan	nan	nan	101.717	18.4032	101.79	46.2489	0	0	18.3659	-16000	0	15.967	230
DATA	1646760312	301723003	88	256	""	2022-03-08	12:25:12	nan	nan	nan	101.717	18.4284	101.79	46.2524	0	0	18.3874	-16000	0	15.965	232
DATA	1646760313	301723003	92	256	""	2022-03-08	12:25:13	nan	nan	nan	101.716	18.4539	101.789	46.2547	0	0	18.4095	-16000	0	15.9619	 85
DATA	1646760314	301723003	96	256	""	2022-03-08	12:25:14	nan	nan	nan	101.716	18.4787	101.79	46.2565	0	0	18.4304	-16000	0	15.9579	 38
DATA	1646760315	301723003	100	256	""	2022-03-08	12:25:15	nan	nan	nan	101.718	18.5035	101.79	46.2584	0	0	18.4517	-16000	0	15.9564	 64
DATA	1646760316	301419019	104	256	""	2022-03-08	12:25:16	nan	nan	nan	101.717	18.5299	101.79	46.2595	0	0	18.4739	-16000	0	15.9552	 95
DATA	1646760317	301419019	108	256	""	2022-03-08	12:25:17	nan	nan	nan	101.715	18.5558	101.789	46.2606	0	0	18.4963	-16000	0	15.9536	147
DATA	1646760318	301419019	112	256	""	2022-03-08	12:25:18	nan	nan	nan	101.717	18.5817	101.789	46.2615	0	0	18.5192	-16000	0	15.9521	133
DATA	1646760319	301419019	116	256	""	2022-03-08	12:25:19	nan	nan	nan	101.717	18.6074	101.789	46.2617	0	0	18.542	-16000	0	15.9505	 85
DATA	1646760320	301419019	120	256	""	2022-03-08	12:25:20	nan	nan	nan	101.717	18.6327	101.789	46.2624	0	0	18.5647	-16000	0	15.9477	130
DATA	1646760321	301419019	124	256	""	2022-03-08	12:25:21	nan	nan	nan	101.718	18.6581	101.789	46.2631	0	0	18.5876	-16000	0	15.9466	139
DATA	1646760322	301419019	128	256	""	2022-03-08	12:25:22	nan	nan	nan	101.717	18.6832	101.789	46.2635	0	0	18.6103	-16000	0	15.9454	128
DATA	1646760323	301104068	132	256	""	2022-03-08	12:25:23	nan	nan	nan	101.717	18.7066	101.789	46.2641	0	0	18.6314	-16000	0	15.9442	118
DATA	1646760324	301104068	136	256	""	2022-03-08	12:25:24	nan	nan	nan	101.717	18.7319	101.789	46.2646	0	0	18.6542	-16000	0	15.943	 82
DATA	1646760325	301104068	140	256	""	2022-03-08	12:25:25	nan	nan	nan	101.717	18.7566	101.789	46.2652	0	0	18.6771	-16000	0	15.9407	136
