Model:	LI-7810
SN:	TG10-01286
Software Version:	2.1.41
Timestamp:	2025-09-10 07:06:29
Timezone:	US/Eastern
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1757502389	230504989	28	256	""	2025-09-10	07:06:29	nan	nan	nan	101.447	20.8253	101.507	25.5286	0	0	20.7981	-12000	0	24.1621	 87
DATA	1757502390	230459928	32	256	""	2025-09-10	07:06:30	nan	nan	nan	101.572	20.8253	101.618	34.1126	0	0	20.7981	-16000	0	24.1578	 74
DATA	1757502391	230418920	36	256	""	2025-09-10	07:06:31	nan	nan	nan	101.598	20.8253	101.638	40.9785	0	0	20.7981	-16000	0	24.159	 39
DATA	1757502392	230381011	40	256	""	2025-09-10	07:06:32	nan	nan	nan	101.604	20.8253	101.641	45.395	0	0	20.7981	-16000	0	24.1625	  0
DATA	1757502393	230370044	44	256	""	2025-09-10	07:06:33	nan	nan	nan	101.604	20.8253	101.64	46.0601	0	0	20.7981	-16000	0	24.1676	  6
DATA	1757502394	230370044	48	256	""	2025-09-10	07:06:34	nan	nan	nan	101.604	20.8253	101.64	46.1917	0	0	20.7981	-16000	0	24.1676	 23
DATA	1757502395	230370044	52	256	""	2025-09-10	07:06:35	nan	nan	nan	101.605	20.8253	101.64	46.2515	0	0	20.7981	-16000	0	24.168	219
DATA	1757502396	230370044	56	256	""	2025-09-10	07:06:36	nan	nan	nan	101.606	20.8253	101.641	46.2866	0	0	20.7981	-16000	0	24.1688	 84
DATA	1757502397	230370044	60	256	""	2025-09-10	07:06:37	nan	nan	nan	101.606	20.8253	101.641	46.3098	0	0	20.7981	-16000	0	24.1692	 74
DATA	1757502398	230370044	64	256	""	2025-09-10	07:06:38	nan	nan	nan	101.605	20.8253	101.641	46.3264	0	0	20.7981	-16000	0	24.1688	 79
DATA	1757502399	230370044	68	256	""	2025-09-10	07:06:39	nan	nan	nan	101.604	20.8253	101.639	46.3379	0	0	20.7981	-16000	0	24.1692	 93
DATA	1757502400	230057954	72	256	""	2025-09-10	07:06:40	nan	nan	nan	101.605	20.8253	101.639	46.3462	0	0	20.7981	-16000	0	24.1688	 74
DATA	1757502401	230057954	76	256	""	2025-09-10	07:06:41	nan	nan	nan	101.607	20.8253	101.641	46.3528	0	0	20.7981	-16000	0	24.168	 22
DATA	1757502402	230057954	80	256	""	2025-09-10	07:06:42	nan	nan	nan	101.607	20.8253	101.641	46.3574	0	0	20.7981	-16000	0	24.1688	 76
DATA	1757502403	230057954	84	256	""	2025-09-10	07:06:43	nan	nan	nan	101.607	20.8253	101.641	46.3611	0	0	20.7981	-16000	0	24.1688	 74
DATA	1757502404	230057954	88	256	""	2025-09-10	07:06:44	nan	nan	nan	101.607	20.8253	101.641	46.364	0	0	20.7981	-16000	0	24.1688	 34
DATA	1757502405	230057954	92	256	""	2025-09-10	07:06:45	nan	nan	nan	101.606	20.8253	101.642	46.3664	0	0	20.7981	-16000	0	24.1684	 81
DATA	1757502406	230057954	96	256	""	2025-09-10	07:06:46	nan	nan	nan	101.608	20.8251	101.641	46.3683	0	0	20.7981	-16000	0	24.1688	 91
DATA	1757502407	230057954	100	256	""	2025-09-10	07:06:47	nan	nan	nan	101.607	20.8247	101.641	46.3698	0	0	20.7983	-16000	0	24.1676	136
DATA	1757502408	229738950	104	256	""	2025-09-10	07:06:48	nan	nan	nan	101.608	20.8245	101.643	46.371	0	0	20.7988	-16000	0	24.1692	 93
DATA	1757502409	229738950	108	256	""	2025-09-10	07:06:49	nan	nan	nan	101.608	20.8245	101.642	46.372	0	0	20.7988	-16000	0	24.1672	 97
DATA	1757502410	229738950	112	256	""	2025-09-10	07:06:50	nan	nan	nan	101.608	20.8245	101.641	46.3727	0	0	20.7988	-16000	0	24.1649	134
DATA	1757502411	229738950	116	256	""	2025-09-10	07:06:51	nan	nan	nan	101.609	20.8245	101.641	46.3734	0	0	20.7988	-16000	0	24.1641	131
DATA	1757502412	229738950	120	256	""	2025-09-10	07:06:52	nan	nan	nan	101.61	20.8245	101.641	46.3742	0	0	20.7988	-16000	0	24.1637	 76
DATA	1757502413	229738950	124	256	""	2025-09-10	07:06:53	nan	nan	nan	101.609	20.8245	101.643	46.3749	0	0	20.7988	-16000	0	24.1656	148
DATA	1757502414	229738950	128	256	""	2025-09-10	07:06:54	nan	nan	nan	101.609	20.8245	101.641	46.3753	0	0	20.7988	-16000	0	24.166	 94
DATA	1757502415	229427099	132	256	""	2025-09-10	07:06:55	nan	nan	nan	101.608	20.8245	101.642	46.376	0	0	20.7988	-16000	0	24.1641	 87
DATA	1757502416	229427099	136	256	""	2025-09-10	07:06:56	nan	nan	nan	101.609	20.8245	101.642	46.3766	0	0	20.7988	-16000	0	24.1641	148
DATA	1757502417	229427099	140	256	""	2025-09-10	07:06:57	nan	nan	nan	101.61	20.8245	101.641	46.3768	0	0	20.7988	-16000	0	24.1621	 88
DATA	1757502418	229427099	144	256	""	2025-09-10	07:06:58	nan	nan	nan	101.611	20.8245	101.642	46.3773	0	0	20.7992	-16000	0	24.1621	135
DATA	1757502419	229427099	148	256	""	2025-09-10	07:06:59	nan	nan	nan	101.61	20.8245	101.641	46.3775	0	0	20.7994	-16000	0	24.1621	 95
DATA	1757502420	229427099	152	256	""	2025-09-10	07:07:00	nan	nan	nan	101.61	20.8245	101.641	46.3782	0	0	20.7996	-16000	0	24.1637	 76
DATA	1757502421	229427099	156	256	""	2025-09-10	07:07:01	nan	nan	nan	101.611	20.8245	101.643	46.3784	0	0	20.7996	-16000	0	24.1645	134
DATA	1757502422	229427099	160	256	""	2025-09-10	07:07:02	nan	nan	nan	101.611	20.8245	101.642	46.379	0	0	20.7996	-16000	0	24.0264	 75
DATA	1757502423	229115962	164	256	""	2025-09-10	07:07:03	nan	nan	nan	101.612	20.8247	101.643	46.379	0	0	20.7997	-16000	0	23.7996	 97
DATA	1757502424	229115962	168	256	""	2025-09-10	07:07:04	nan	nan	nan	101.613	20.8272	101.643	46.3795	0	0	20.8035	-16000	0	23.8	228
DATA	1757502425	229115962	172	256	""	2025-09-10	07:07:05	nan	nan	nan	101.613	20.8326	101.644	46.3797	0	0	20.8124	-16000	0	23.7976	136
DATA	1757502426	229115962	176	256	""	2025-09-10	07:07:06	nan	nan	nan	101.614	20.8413	101.643	46.3797	0	0	20.8262	-16000	0	23.7972	138
DATA	1757502427	229115962	180	256	""	2025-09-10	07:07:07	nan	nan	nan	101.613	20.8536	101.644	46.3797	0	0	20.8436	-16000	0	23.7972	144
DATA	1757502428	229115962	184	256	""	2025-09-10	07:07:08	nan	nan	nan	101.614	20.869	101.645	46.3797	0	0	20.8625	-16000	0	23.8035	 96
DATA	1757502429	229115962	188	256	""	2025-09-10	07:07:09	nan	nan	nan	101.615	20.8868	101.644	46.3805	0	0	20.8822	-16000	0	23.8031	142
DATA	1757502430	228794097	192	256	""	2025-09-10	07:07:10	nan	nan	nan	101.615	20.9064	101.645	46.3805	0	0	20.9023	-16000	0	23.8031	116
DATA	1757502431	228794097	196	256	""	2025-09-10	07:07:11	nan	nan	nan	101.615	20.9276	101.644	46.3805	0	0	20.923	-16000	0	23.8027	 83
DATA	1757502432	228794097	200	256	""	2025-09-10	07:07:12	nan	nan	nan	101.615	20.9509	101.644	46.381	0	0	20.9445	-16000	0	23.8027	 74
DATA	1757502433	228794097	204	256	""	2025-09-10	07:07:13	nan	nan	nan	101.615	20.9743	101.645	46.3812	0	0	20.9657	-16000	0	23.8031	131
DATA	1757502434	228794097	208	256	""	2025-09-10	07:07:14	nan	nan	nan	101.615	20.9963	101.646	46.3812	0	0	20.9853	-16000	0	23.8043	143
DATA	1757502435	228794097	212	256	""	2025-09-10	07:07:15	nan	nan	nan	101.615	21.0211	101.644	46.3819	0	0	21.0067	-16000	0	23.8035	113
DATA	1757502436	228794097	216	256	""	2025-09-10	07:07:16	nan	nan	nan	101.615	21.046	101.644	46.3819	0	0	21.0282	-16000	0	23.8047	 79
DATA	1757502437	228794097	220	256	""	2025-09-10	07:07:17	nan	nan	nan	101.615	21.0712	101.645	46.3825	0	0	21.0501	-16000	0	23.8043	112
DATA	1757502438	228477954	224	256	""	2025-09-10	07:07:18	nan	nan	nan	101.616	21.0965	101.645	46.3827	0	0	21.0721	-16000	0	23.8039	140
DATA	1757502439	228477954	228	256	""	2025-09-10	07:07:19	nan	nan	nan	101.615	21.1226	101.644	46.383	0	0	21.0942	-16000	0	23.8043	 81
DATA	1757502440	228477954	232	256	""	2025-09-10	07:07:20	nan	nan	nan	101.617	21.1484	101.644	46.3834	0	0	21.1169	-16000	0	23.8047	126
DATA	1757502441	228477954	236	256	""	2025-09-10	07:07:21	nan	nan	nan	101.616	21.1741	101.644	46.3834	0	0	21.1393	-16000	0	23.8051	121
DATA	1757502442	228477954	240	256	""	2025-09-10	07:07:22	nan	nan	nan	101.617	21.1972	101.645	46.384	0	0	21.1599	-16000	0	23.8035	 85
DATA	1757502443	228477954	244	256	""	2025-09-10	07:07:23	nan	nan	nan	101.616	21.2224	101.645	46.3841	0	0	21.1824	-16000	0	23.8031	117
DATA	1757502444	228477954	248	256	""	2025-09-10	07:07:24	nan	nan	nan	101.617	21.2477	101.645	46.3845	0	0	21.205	-16000	0	23.8039	 90
DATA	1757502445	228161096	252	256	""	2025-09-10	07:07:25	nan	nan	nan	101.616	21.2726	101.645	46.3849	0	0	21.2277	-16000	0	23.8027	130
DATA	1757502446	228161096	256	256	""	2025-09-10	07:07:26	nan	nan	nan	101.617	21.2981	101.644	46.3851	0	0	21.2504	-16000	0	23.8027	125
DATA	1757502447	228161096	260	256	""	2025-09-10	07:07:27	nan	nan	nan	101.618	21.3231	101.645	46.3856	0	0	21.2731	-16000	0	23.8027	120
DATA	1757502448	228161096	264	256	""	2025-09-10	07:07:28	nan	nan	nan	101.617	21.3475	101.645	46.3856	0	0	21.2962	-16000	0	23.8031	136
DATA	1757502449	228161096	268	256	""	2025-09-10	07:07:29	nan	nan	nan	101.617	21.3718	101.645	46.3864	0	0	21.3194	-16000	0	23.8035	143
DATA	1757502450	228161096	272	256	""	2025-09-10	07:07:30	nan	nan	nan	101.618	21.3948	101.645	46.3864	0	0	21.3417	-16000	0	23.8051	124
DATA	1757502451	228161096	276	256	""	2025-09-10	07:07:31	nan	nan	nan	101.618	21.4176	101.645	46.3865	0	0	21.3633	-16000	0	23.8039	131
DATA	1757502452	228161096	280	256	""	2025-09-10	07:07:32	nan	nan	nan	101.617	21.4413	101.645	46.3871	0	0	21.3863	-16000	0	23.8043	118
DATA	1757502453	227837085	284	256	""	2025-09-10	07:07:33	nan	nan	nan	101.618	21.4649	101.644	46.3871	0	0	21.4093	-16000	0	23.8047	142
DATA	1757502454	227837085	288	256	""	2025-09-10	07:07:34	nan	nan	nan	101.618	21.4887	101.645	46.3878	0	0	21.4321	-16000	0	23.8043	150
DATA	1757502455	227837085	292	256	""	2025-09-10	07:07:35	nan	nan	nan	101.618	21.5115	101.644	46.3878	0	0	21.4551	-16000	0	23.8043	136
DATA	1757502456	227837085	296	256	""	2025-09-10	07:07:36	nan	nan	nan	101.618	21.5345	101.644	46.3886	0	0	21.4783	-16000	0	23.8055	156
DATA	1757502457	227837085	300	256	""	2025-09-10	07:07:37	nan	nan	nan	101.618	21.5571	101.644	46.3886	0	0	21.5018	-16000	0	23.8039	139
DATA	1757502458	227837085	304	256	""	2025-09-10	07:07:38	nan	nan	nan	101.617	21.5795	101.644	46.3889	0	0	21.5246	-16000	0	23.8047	157
DATA	1757502459	227837085	308	256	""	2025-09-10	07:07:39	nan	nan	nan	101.618	21.6	101.644	46.3893	0	0	21.5458	-16000	0	23.8035	253
DATA	1757502460	227521896	312	256	""	2025-09-10	07:07:40	nan	nan	nan	101.618	21.6221	101.643	46.3893	0	0	21.5688	-16000	0	23.8039	133
DATA	1757502461	227521896	316	256	""	2025-09-10	07:07:41	nan	nan	nan	101.618	21.644	101.643	46.39	0	0	21.5919	-16000	0	23.8027	237
DATA	1757502462	227521896	320	256	""	2025-09-10	07:07:42	nan	nan	nan	101.618	21.6664	101.643	46.39	0	0	21.6149	-16000	0	23.8043	 28
DATA	1757502463	227521896	324	256	""	2025-09-10	07:07:43	nan	nan	nan	101.617	21.6884	101.643	46.3902	0	0	21.6378	-16000	0	23.8031	136
DATA	1757502464	227521896	328	256	""	2025-09-10	07:07:44	nan	nan	nan	101.618	21.7097	101.643	46.3908	0	0	21.6614	-16000	0	23.8035	143
DATA	1757502465	227521896	332	256	""	2025-09-10	07:07:45	nan	nan	nan	101.619	21.7312	101.643	46.391	0	0	21.6845	-16000	0	23.8031	 78
DATA	1757502466	227521896	336	256	""	2025-09-10	07:07:46	nan	nan	nan	101.618	21.7524	101.643	46.3915	0	0	21.7076	-16000	0	23.8035	142
DATA	1757502467	227521896	340	256	""	2025-09-10	07:07:47	nan	nan	nan	101.619	21.7725	101.643	46.3915	0	0	21.7296	-16000	0	23.8051	145
DATA	1757502468	227193117	344	256	""	2025-09-10	07:07:48	nan	nan	nan	101.619	21.7923	101.643	46.3921	0	0	21.7517	-16000	0	23.8047	140
DATA	1757502469	227193117	348	256	""	2025-09-10	07:07:49	nan	nan	nan	101.618	21.8133	101.643	46.3923	0	0	21.7742	-16000	0	23.8047	141
DATA	1757502470	227193117	352	256	""	2025-09-10	07:07:50	nan	nan	nan	101.618	21.8341	101.643	46.3924	0	0	21.7975	-16000	0	23.8051	125
DATA	1757502471	227193117	356	256	""	2025-09-10	07:07:51	nan	nan	nan	101.618	21.8552	101.643	46.393	0	0	21.82	-16000	0	23.8047	231
DATA	1757502472	227193117	360	256	""	2025-09-10	07:07:52	nan	nan	nan	101.619	21.8756	101.644	46.393	0	0	21.8436	-16000	0	23.8051	 82
DATA	1757502473	227193117	364	256	""	2025-09-10	07:07:53	nan	nan	nan	101.62	21.896	101.642	46.3935	0	0	21.8668	-16000	0	23.8047	 44
DATA	1757502474	227193117	368	256	""	2025-09-10	07:07:54	nan	nan	nan	101.62	21.916	101.643	46.3937	0	0	21.8895	-16000	0	23.8055	 47
DATA	1757502475	226874113	372	256	""	2025-09-10	07:07:55	nan	nan	nan	101.62	21.9362	101.643	46.3943	0	0	21.9125	-16000	0	23.8051	 77
DATA	1757502476	226874113	376	256	""	2025-09-10	07:07:56	nan	nan	nan	101.62	21.9547	101.643	46.3945	0	0	21.9334	-16000	0	23.8047	 97
DATA	1757502477	226874113	380	256	""	2025-09-10	07:07:57	nan	nan	nan	101.62	21.9745	101.643	46.3945	0	0	21.9563	-16000	0	23.8035	 95
DATA	1757502478	226874113	384	256	""	2025-09-10	07:07:58	nan	nan	nan	101.62	21.9942	101.643	46.3952	0	0	21.9791	-16000	0	23.8035	101
DATA	1757502479	226874113	388	256	""	2025-09-10	07:07:59	nan	nan	nan	101.62	22.0142	101.643	46.3952	0	0	22.0019	-16000	0	23.8035	 76
DATA	1757502480	226874113	392	256	""	2025-09-10	07:08:00	nan	nan	nan	101.621	22.0346	101.643	46.3958	0	0	22.0251	-16000	0	23.8039	113
DATA	1757502481	226874113	396	256	""	2025-09-10	07:08:01	nan	nan	nan	101.62	22.054	101.643	46.3959	0	0	22.0481	-16000	0	23.8031	 16
DATA	1757502482	226874113	400	256	""	2025-09-10	07:08:02	nan	nan	nan	101.621	22.0735	101.644	46.3963	0	0	22.0707	-16000	0	23.8031	104
DATA	1757502483	226546049	404	256	""	2025-09-10	07:08:03	nan	nan	nan	101.621	22.0928	101.644	46.3967	0	0	22.0933	-16000	0	23.8035	127
DATA	1757502484	226546049	408	256	""	2025-09-10	07:08:04	nan	nan	nan	101.621	22.1114	101.642	46.3969	0	0	22.1149	-16000	0	23.8051	119
DATA	1757502485	226546049	412	256	""	2025-09-10	07:08:05	nan	nan	nan	101.62	22.13	101.643	46.3974	0	0	22.1366	-16000	0	23.8039	228
DATA	1757502486	226546049	416	256	""	2025-09-10	07:08:06	nan	nan	nan	101.62	22.1491	101.642	46.3974	0	0	22.1592	-16000	0	23.8051	 79
DATA	1757502487	226546049	420	256	""	2025-09-10	07:08:07	nan	nan	nan	101.621	22.1684	101.643	46.3982	0	0	22.1818	-16000	0	23.8043	131
DATA	1757502488	226546049	424	256	""	2025-09-10	07:08:08	nan	nan	nan	101.622	22.1873	101.643	46.3982	0	0	22.2051	-16000	0	23.8047	132
DATA	1757502489	226546049	428	256	""	2025-09-10	07:08:09	nan	nan	nan	101.622	22.2074	101.644	46.3985	0	0	22.2282	-16000	0	23.8043	138
DATA	1757502490	226226091	432	256	""	2025-09-10	07:08:10	nan	nan	nan	101.622	22.2265	101.642	46.3989	0	0	22.2508	-16000	0	23.8051	113
DATA	1757502491	226226091	436	256	""	2025-09-10	07:08:11	nan	nan	nan	101.622	22.2454	101.643	46.3991	0	0	22.2732	-16000	0	23.8043	113
DATA	1757502492	226226091	440	256	""	2025-09-10	07:08:12	nan	nan	nan	101.622	22.2636	101.642	46.3996	0	0	22.2946	-16000	0	23.8047	127
DATA	1757502493	226226091	444	256	""	2025-09-10	07:08:13	nan	nan	nan	101.622	22.2818	101.642	46.3996	0	0	22.3164	-16000	0	23.8035	125
DATA	1757502494	226226091	448	256	""	2025-09-10	07:08:14	nan	nan	nan	101.623	22.3003	101.643	46.4004	0	0	22.339	-16000	0	23.8039	 58
DATA	1757502495	226226091	452	256	""	2025-09-10	07:08:15	nan	nan	nan	101.621	22.319	101.641	46.4004	0	0	22.3614	-16000	0	23.8027	 54
DATA	1757502496	226226091	456	256	""	2025-09-10	07:08:16	nan	nan	nan	101.622	22.3378	101.642	46.4011	0	0	22.3841	-16000	0	23.8031	113
DATA	1757502497	226226091	460	256	""	2025-09-10	07:08:17	nan	nan	nan	101.622	22.3565	101.641	46.4011	0	0	22.4068	-16000	0	23.8027	114
DATA	1757502498	225891113	464	256	""	2025-09-10	07:08:18	nan	nan	nan	101.621	22.3752	101.64	46.4015	0	0	22.4291	-16000	0	23.8031	 67
DATA	1757502499	225891113	468	256	""	2025-09-10	07:08:19	nan	nan	nan	101.621	22.3944	101.64	46.4018	0	0	22.4515	-16000	0	23.8031	 78
DATA	1757502500	225891113	472	256	""	2025-09-10	07:08:20	nan	nan	nan	101.621	22.4127	101.64	46.402	0	0	22.4738	-16000	0	23.8031	250
DATA	1757502501	225891113	476	256	""	2025-09-10	07:08:21	nan	nan	nan	101.621	22.4303	101.641	46.4026	0	0	22.4953	-16000	0	23.8047	105
DATA	1757502502	225891113	480	256	""	2025-09-10	07:08:22	nan	nan	nan	101.621	22.4483	101.639	46.4026	0	0	22.5166	-16000	0	23.8047	115
DATA	1757502503	225891113	484	256	""	2025-09-10	07:08:23	nan	nan	nan	101.621	22.4668	101.638	46.4031	0	0	22.5389	-16000	0	23.8039	129
DATA	1757502504	225891113	488	256	""	2025-09-10	07:08:24	nan	nan	nan	101.62	22.485	101.639	46.4033	0	0	22.5615	-16000	0	23.8039	 26
DATA	1757502505	225570917	492	256	""	2025-09-10	07:08:25	nan	nan	nan	101.622	22.5033	101.639	46.4039	0	0	22.584	-16000	0	23.8039	 79
DATA	1757502506	225570917	496	256	""	2025-09-10	07:08:26	nan	nan	nan	101.621	22.5218	101.638	46.4041	0	0	22.606	-16000	0	23.8043	 71
DATA	1757502507	225570917	500	256	""	2025-09-10	07:08:27	nan	nan	nan	101.621	22.5401	101.638	46.4046	0	0	22.6283	-16000	0	23.8039	118
DATA	1757502508	225570917	504	256	""	2025-09-10	07:08:28	nan	nan	nan	101.621	22.5588	101.638	46.4048	0	0	22.6506	-16000	0	23.8039	140
DATA	1757502509	225570917	508	256	""	2025-09-10	07:08:29	nan	nan	nan	101.621	22.5767	101.638	46.405	0	0	22.6718	-16000	0	23.8031	 87
DATA	1757502510	225570917	512	256	""	2025-09-10	07:08:30	nan	nan	nan	101.621	22.5941	101.637	46.4055	0	0	22.693	-16000	0	23.8035	 64
DATA	1757502511	225570917	516	256	""	2025-09-10	07:08:31	nan	nan	nan	101.62	22.6123	101.637	46.4057	0	0	22.7151	-16000	0	23.8027	 61
DATA	1757502512	225570917	520	256	""	2025-09-10	07:08:32	nan	nan	nan	101.62	22.6305	101.638	46.4063	0	0	22.7376	-16000	0	23.8027	 67
DATA	1757502513	225240945	524	256	""	2025-09-10	07:08:33	nan	nan	nan	101.62	22.6487	101.637	46.4065	0	0	22.76	-16000	0	23.8027	230
DATA	1757502514	225240945	528	256	""	2025-09-10	07:08:34	nan	nan	nan	101.62	22.6669	101.636	46.407	0	0	22.7821	-16000	0	23.8027	 30
DATA	1757502515	225240945	532	256	""	2025-09-10	07:08:35	nan	nan	nan	101.621	22.685	101.636	46.407	0	0	22.8042	-16000	0	23.8027	 16
DATA	1757502516	225240945	536	256	""	2025-09-10	07:08:36	nan	nan	nan	101.621	22.7031	101.636	46.4077	0	0	22.8261	-16000	0	23.8027	120
DATA	1757502517	225240945	540	256	""	2025-09-10	07:08:37	nan	nan	nan	101.621	22.7209	101.635	46.4077	0	0	22.8481	-16000	0	23.8027	127
DATA	1757502518	225240945	544	256	""	2025-09-10	07:08:38	nan	nan	nan	101.621	22.739	101.635	46.4085	0	0	22.8692	-16000	0	23.8051	 86
DATA	1757502519	225240945	548	256	""	2025-09-10	07:08:39	nan	nan	nan	101.621	22.7564	101.636	46.4087	0	0	22.8902	-16000	0	23.8035	142
DATA	1757502520	224925041	552	256	""	2025-09-10	07:08:40	nan	nan	nan	101.622	22.7745	101.635	46.4092	0	0	22.9126	-16000	0	23.8043	112
DATA	1757502521	224925041	556	256	""	2025-09-10	07:08:41	nan	nan	nan	101.621	22.7927	101.635	46.4092	0	0	22.9346	-16000	0	23.8039	128
DATA	1757502522	224925041	560	256	""	2025-09-10	07:08:42	nan	nan	nan	101.622	22.8106	101.635	46.41	0	0	22.9568	-16000	0	23.8039	 16
DATA	1757502523	224925041	564	256	""	2025-09-10	07:08:43	nan	nan	nan	101.621	22.8283	101.635	46.4101	0	0	22.9783	-16000	0	23.8039	123
DATA	1757502524	224925041	568	256	""	2025-09-10	07:08:44	nan	nan	nan	101.622	22.8467	101.634	46.4107	0	0	23.0005	-16000	0	23.8043	113
DATA	1757502525	224925041	572	256	""	2025-09-10	07:08:45	nan	nan	nan	101.62	22.8645	101.634	46.4107	0	0	23.0222	-16000	0	23.8039	 64
DATA	1757502526	224925041	576	256	""	2025-09-10	07:08:46	nan	nan	nan	101.622	22.8817	101.634	46.4114	0	0	23.0431	-16000	0	23.8043	116
DATA	1757502527	224925041	580	256	""	2025-09-10	07:08:47	nan	nan	nan	101.622	22.8988	101.634	46.4114	0	0	23.0639	-16000	0	23.8031	129
DATA	1757502528	224592924	584	256	""	2025-09-10	07:08:48	nan	nan	nan	101.621	22.9172	101.634	46.4122	0	0	23.0859	-16000	0	23.8039	141
DATA	1757502529	224592924	588	256	""	2025-09-10	07:08:49	nan	nan	nan	101.622	22.9355	101.633	46.4122	0	0	23.1083	-16000	0	23.8031	132
DATA	1757502530	224592924	592	256	""	2025-09-10	07:08:50	nan	nan	nan	101.621	22.9535	101.633	46.4129	0	0	23.1301	-16000	0	23.8035	114
DATA	1757502531	224592924	596	256	""	2025-09-10	07:08:51	nan	nan	nan	101.622	22.9714	101.633	46.4129	0	0	23.1517	-16000	0	23.8023	126
DATA	1757502532	224592924	600	256	""	2025-09-10	07:08:52	nan	nan	nan	101.621	22.9891	101.634	46.4136	0	0	23.1735	-16000	0	23.8027	124
DATA	1757502533	224592924	604	256	""	2025-09-10	07:08:53	nan	nan	nan	101.621	23.0069	101.633	46.4136	0	0	23.1953	-16000	0	23.8027	120
DATA	1757502534	224592924	608	256	""	2025-09-10	07:08:54	nan	nan	nan	101.622	23.0248	101.632	46.4142	0	0	23.2168	-16000	0	23.8031	116
DATA	1757502535	224261999	612	256	""	2025-09-10	07:08:55	nan	nan	nan	101.621	23.0412	101.632	46.4144	0	0	23.2368	-16000	0	23.8043	117
DATA	1757502536	224261999	616	256	""	2025-09-10	07:08:56	nan	nan	nan	101.621	23.0593	101.632	46.4151	0	0	23.2583	-16000	0	23.8047	134
DATA	1757502537	224261999	620	256	""	2025-09-10	07:08:57	nan	nan	nan	101.621	23.0769	101.631	46.4153	0	0	23.2809	-16000	0	23.8035	135
DATA	1757502538	224261999	624	256	""	2025-09-10	07:08:58	nan	nan	nan	101.622	23.0953	101.632	46.4159	0	0	23.3025	-16000	0	23.8043	134
DATA	1757502539	224261999	628	256	""	2025-09-10	07:08:59	nan	nan	nan	101.622	23.1136	101.632	46.416	0	0	23.3239	-16000	0	23.8039	 90
DATA	1757502540	224261999	632	256	""	2025-09-10	07:09:00	nan	nan	nan	101.622	23.1313	101.632	46.4166	0	0	23.3457	-16000	0	23.8047	116
DATA	1757502541	224261999	636	256	""	2025-09-10	07:09:01	nan	nan	nan	101.623	23.1493	101.631	46.4168	0	0	23.3673	-16000	0	23.8035	130
