"","Machine","User","Run_Date","Sample_Year","Sample_Month","Sample_Day","Event_Stamp","Sample_Time","Time_Zone","G_W","Sample_Plot","Sapflux_ID","Sample_Grid","Sample_ID","Sample_Vol_mL","Dilution_Factor","Field_Notes","CH4_Flag","CO2_Flag","CH4_Conc_ppm_dilcorr","CO2_Conc_ppm_dilcorr","CH4_Conc_umol","CO2_Conc_umol","CH4_Conc_nmol","CO2_Conc_nmol"
"1","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1510","EDT","W","Control","C1","F5","289",2,7,"","Within Range","Within Range",17166.5801724612,34795.0190410317,701.645040527613,1422.16750802635,701645.040527613,1422167.50802635
"2","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1458","EDT","G","Control","C2","F5","290",2,7,"","Within Range","Within Range",12350.8902033465,63378.8041743596,10.0962926456151,51.8092982722888,10096.2926456151,51809.2982722888
"3","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1627","EDT","G","Control","C3","C5","291",2,7,"small amount of water, but expelled it then took 2mL of gas sample","Within Range","Within Range",612.615098843231,110556.411473538,0.500785062065229,90.374852800768,500.785062065229,90374.852800768
"4","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1419","EDT","G","Control","C7_H","B3","292",2,7,"","Within Range","Within Range",321.529577106959,105210.440471139,0.262835848367687,86.0047639386251,262.835848367687,86004.7639386251
"5","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1418","EDT","G","Control","C7_L","B3","293",2,7,"","Within Range","Within Range",247.947526298678,149921.802063144,0.202685858675152,122.554274442287,202.685858675152,122554.274442287
"6","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1325","EDT","G","Control","C11_H","F2","294",2,7,"","Within Range","Within Range",515.968561598689,98849.8223490389,0.421780900653297,80.8052470689562,421.780900653297,80805.2470689562
"7","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1324","EDT","G","Control","C11_L","F2","295",2,7,"","Within Range","Within Range",282.836828719702,123759.801061488,0.231206281223203,101.168025033639,231.206281223203,101168.025033639
"8","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1636","EDT","G","Control","C19_H","A1","296",2,7,"","Within Range","Within Range",748.307909901379,70397.4623233187,0.611707781625801,57.5467330227186,611.707781625801,57546.7330227186
"9","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1637","EDT","G","Control","C19_L","A1","297",2,7,"","Within Range","Within Range",2268.95367219693,108348.966102518,1.85476673314093,88.5703663145231,1854.76673314093,88570.3663145231
"10","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1427","EDT","G","Control","C13","B8","298",2,7,"","Needs Dilution","Within Range",82460.1507999336,94591.0914598409,67.4074338262764,77.3239276945346,67407.4338262765,77323.9276945346
"11","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1530","EDT","G","Control","C14","B7","299",1.5,9,"1.5mL only","Within Range","Within Range",1115.44985897507,134524.007507977,0.911829675618928,109.967275661916,911.829675618928,109967.275661916
"12","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1401","EDT","G","Control","C15","A4","300",1.8,7.67,"1.8mL only","Within Range","Within Range",6837.8037565488,72301.6726423095,5.58959448612843,59.1033386052151,5589.59448612843,59103.3386052151
"13","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1526","EDT","G","Saltwater","S1","F7","301",2,7,"","Within Range","Within Range",29441.4260245656,125094.737003738,24.0670306475321,102.259274628949,24067.0306475321,102259.274628949
"14","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1543","EDT","G","Saltwater","S2","C5","302",2,7,"","Within Range","Within Range",809.187426424996,183018.807260242,0.661474025582813,149.609575287955,661.474025582813,149609.575287955
"15","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1528","EDT","G","Saltwater","S3","E5","303",2,7,"","Within Range","Within Range",2142.95690387819,111245.848949895,1.75177008881783,90.938436672663,1751.77008881783,90938.436672663
"16","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1431","EDT","G","Saltwater","S7_H","D7","304",2,7,"","Needs Dilution","Within Range",346981.172433705,68370.8680032903,283.641373353002,55.8900840693173,283641.373353002,55890.0840693173
"17","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1431","EDT","W","Saltwater","S7_L","D7","305",2,7,"","Needs Dilution","Within Range",242661.142247648,100435.415322234,9918.22397217843,4105.06987100582,9918223.97217843,4105069.87100582
"18","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1322","EDT","G","Saltwater","S8_H","C6","306",2,7,"","Within Range","Within Range",13058.0499707694,147452.812889508,10.6743636867756,120.535987758051,10674.3636867756,120535.987758051
"19","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1322","EDT","G","Saltwater","S8_L","C6","307",2,7,"","Within Range","Within Range",476.617524486507,59695.4609414969,0.389613212328661,48.7983322138948,389.613212328661,48798.3322138948
"20","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1409","EDT","G","Saltwater","S9_H","F2","308",2,7,"","Within Range","Within Range",7149.28186863322,120456.841630796,5.84421371766009,98.4680054836462,5844.21371766009,98468.0054836462
"21","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1409","EDT","G","Saltwater","S9_L","F2","309",2,7,"","Within Range","Within Range",1721.60759625601,118217.911716104,1.40733613743932,96.63778181073,1407.33613743932,96637.78181073
"22","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1345","EDT","G","Saltwater","S13","A2","310",2,7,"","Within Range","Within Range",38875.3404393376,82191.8423745701,31.7788278667655,67.1881038559541,31778.8278667655,67188.1038559541
"23","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1540","EDT","G","Saltwater","S14","I2","311",2,7,"","Within Range","Within Range",6167.04163879359,74010.2592757558,5.04127687298875,60.50003069604,5041.27687298875,60500.03069604
"24","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1414","EDT","G","Saltwater","S15","E4","312",2,7,"","Within Range","Within Range",297.623943966628,84090.5824480988,0.243294077362541,68.7402377608534,243.294077362541,68740.2377608534
"25","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1520","EDT","W","Freshwater","F1","H5","313",0.4,31,"0.4mL","Within Range","Within Range",585.93604984179,257979.917717898,23.9488074682081,10544.3441852713,23948.8074682081,10544344.1852713
"26","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1550","EDT","W","Freshwater","F2","G6","314",2,7,"","Within Range","Within Range",62.553916508694,22702.9075581324,2.55674950065554,927.929869181194,2556.74950065554,927929.869181194
"27","Varian GC","A. Stearns",20241002,2024,"June",14,"D5_PM","1415","EDT","W","Freshwater","F3","D5","315",0.6,21,"0.6mL ","Within Range","Within Range",811.609745967477,188275.166491184,33.1727080979991,7695.32052953501,33172.7080979991,7695320.52953501
