Machine,User,Run_Date,Sample_Type,Sample1,Sample_Year,Sample_Month,Sample_Day,Sample_Time,Time_Zone,G_W,Sample_Plot,Tree_ID,Sample_Grid,Sample_ID,Sample_Vol_mL,Dilution_Factor,STD_Conc,CO2_Area,CH4_Area,Field_Notes,Lab_Notes
Varian GC,Stearns,20241205,Blank,Blank,2024,NA,NA,NA,NA,G,NA,NA,NA,Blank_0,NA,1,0,0,0,,
Varian GC,Stearns,20241205,STD_CH4,STD_CH4,2024,NA,NA,NA,NA,G,NA,NA,NA,Blank_0_repeatforCH4,NA,1,0,0,0,,
Varian GC,Stearns,20241205,STD_CO2,STD_CO2,2024,NA,NA,NA,NA,G,NA,NA,NA,Blank_0_repeatforCO2,NA,1,0,0,0,,
Varian GC,Stearns,20241205,STD_CH4,STD_CH4,2024,NA,NA,NA,NA,G,NA,NA,NA,STD_1ppm_CH4,NA,1,1,27664,569,,
Varian GC,Stearns,20241205,STD_CH4,STD_CH4,2024,NA,NA,NA,NA,G,NA,NA,NA,STD_2.5ppm_CH4,NA,1,2.5,83232,1576,,
Varian GC,Stearns,20241205,STD_CH4,STD_CH4,2024,NA,NA,NA,NA,G,NA,NA,NA,STD_5ppm_CH4,NA,1,5,161861,2956,,
Varian GC,Stearns,20241205,STD_CH4,STD_CH4,2024,NA,NA,NA,NA,G,NA,NA,NA,STD_10ppm_CH4,NA,1,10,319552,5860,,
Varian GC,Stearns,20241205,STD_CH4,STD_CH4,2024,NA,NA,NA,NA,G,NA,NA,NA,STD_25ppm_CH4,NA,1,25,816137,14939,,
Varian GC,Stearns,20241205,STD_CH4,STD_CH4,2024,NA,NA,NA,NA,G,NA,NA,NA,STD_50ppm_CH4,NA,1,50,1623581,29858,,
Varian GC,Stearns,20241205,STD_CH4,STD_CH4,2024,NA,NA,NA,NA,G,NA,NA,NA,STD_100ppm_CH4,NA,1,100,2271,59670,,
Varian GC,Stearns,20241205,STD_CH4,STD_CH4,2024,NA,NA,NA,NA,G,NA,NA,NA,STD_250ppm_CH4,NA,1,250,2050,154315,,
Varian GC,Stearns,20241205,STD_CH4,STD_CH4,2024,NA,NA,NA,NA,G,NA,NA,NA,STD_500ppm_CH4,NA,1,500,0,305915,,
Varian GC,Stearns,20241205,STD_CH4,STD_CH4,2024,NA,NA,NA,NA,G,NA,NA,NA,STD_2500ppm_CH4,NA,1,2500,1741,1494594,,
Varian GC,Stearns,20241205,STD_CH4,STD_CH4,2024,NA,NA,NA,NA,G,NA,NA,NA,STD_5000ppm_CH4,NA,1,5000,0,3073523,,re-ran std; no change
Varian GC,Stearns,20241205,STD_CH4,STD_CH4,2024,NA,NA,NA,NA,G,NA,NA,NA,STD_10000ppm_CH4,NA,1,10000,0,5249926,,re-ran std; use that value
Varian GC,Stearns,20241205,STD_CO2,STD_CO2,2024,NA,NA,NA,NA,G,NA,NA,NA,STD_125ppm_CO2,NA,1,125,23763,1239,,
Varian GC,Stearns,20241205,STD_CO2,STD_CO2,2024,NA,NA,NA,NA,G,NA,NA,NA,STD_500ppm_CO2,NA,1,500,88093,546,,
Varian GC,Stearns,20241205,STD_CO2,STD_CO2,2024,NA,NA,NA,NA,G,NA,NA,NA,STD_2500ppm_CO2,NA,1,2500,415806,301,,
Varian GC,Stearns,20241205,STD_CO2,STD_CO2,2024,NA,NA,NA,NA,G,NA,NA,NA,STD_5000ppm_CO2,NA,1,5000,866457,0,,
Varian GC,Stearns,20241205,STD_CO2,STD_CO2,2024,NA,NA,NA,NA,G,NA,NA,NA,STD_50000ppm_CO2,NA,1,50000,8501136,617257,,
Varian GC,Stearns,20241205,Blank,Blank,2024,NA,NA,NA,NA,G,NA,NA,NA,Blank_1,NA,1,0,8699,229,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1322,EST,G,Control,C1,F5,1,2,7,NA,1136467,7626180,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1322,EST,G,Control,C2,F5,2,2,7,NA,1132085,1435769,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1332,EST,G,Control,C3,C5,3,2,7,NA,1272654,39535,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1325,EST,G,Control,C7_L,B3,4,2,7,NA,2650535,7400,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1323,EST,G,Control,C11_L,F2,5,2,7,NA,1856477,55797,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1326,EST,G,Control,C19_L,A1,6,2,7,NA,1342106,5221,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1328,EST,G,Control,C13,B8,7,2,7,NA,1492343,1408329,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1328,EST,G,Control,C14,B7,8,2,7,NA,1494771,1291530,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1327,EST,G,Control,C15,A4,9,2,7,NA,1045265,1469828,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1331,EST,G,Control,ATM,F4,10,2,7,NA,20772,3306,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1216,EST,G,Saltwater,S1,F7,11,2,7,NA,1702902,1133448,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1221,EST,G,Saltwater,S2,C5,12,2,7,NA,2145185,5776,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1218,EST,G,Saltwater,S3,E5,13,2,7,NA,1599544,711402,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1217,EST,G,Saltwater,S7_L,D7,14,2,7,NA,883627,14520000,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1221,EST,G,Saltwater,S8_L,C6,15,2,7,NA,1108470,142885,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1213,EST,G,Saltwater,S9_L,F2,16,2,7,NA,1451795,68808,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1211,EST,G,Saltwater,S13,A2,17,2,7,NA,1149871,3038677,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1214,EST,G,Saltwater,S14,I2,18,2,7,NA,974649,910555,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1212,EST,G,Saltwater,S15,E4,19,2,7,NA,1002526,2144,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1220,EST,G,Saltwater,ATM,F4,20,2,7,NA,57808,20360,,CH4 seems high
Varian GC,Stearns,20241205,CHKSTD,CHKSTD,2024,NA,NA,NA,NA,G,NA,NA,NA,CHKSTD_5ppm_CH4,NA,1,5,170043,3344,,
Varian GC,Stearns,20241205,Blank,Blank,2024,NA,NA,NA,NA,G,NA,NA,NA,Blank_2,NA,1,0,1028,0,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1144,EST,G,Freshwater,F1,H5,21,2,7,NA,1568011,24080,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1143,EST,G,Freshwater,F2,G6,22,2,7,NA,2414255,337092,,
Varian GC,Stearns,20241205,Unknown,TGW,2024,November,5,1139,EST,G,Freshwater,F3,D5,23,2,7,NA,2133937,147466,,
