#Log_File	LOG014
#Comment	
#Device	FireStingGO2_Pocket_Oxygen_Meter
#Firmware	3.37
#Unique_ID	24EB9B04575BA8F7
#Manufacturer	Pyro_Science_GmbH
#Settings	Sensor Code	Medium	Oxygen Units	Temperature	Salinity
#	XB7-537-209	Gas	%O2	Sensor	0.0 psu
#Calibration	Sensor Code	Calibrate Air	Calibrate 0%
#	XB7-537-209	29 Apr 2019	not cal.
#Adv. Settings	Temperature	Pressure	Salinity	Mode	LED Intensity	Amplification	Frequency
#	Sensor	Sensor	0 psu	default	10%	400x	4000 Hz
#Adv. Calibration	dphi0	dphi100	Temp0	Temp100	Pressure	Humidity	f	m	calFreq	tt	kt	bkgdAmp	bkgdDphi	useKsv	ksv	ft	mt	not used	PercentO2
#	53.000°	22.117°	20.00°C	11.22°C	1030 mbar	47%RH	0.804	0.122	4000 Hz	-0.056%/K	0.969%/K	0.30 mV	0.000°	0	0.017000/hPa	0.000000/K	-0.000303/K	0	20.95%O2
#
Data_Point	Date_Time(YYYY-MM-DD_hh:mm:ss)	Oxygen(%O2)	Warning 	Compensation_Temperature(°C)	Temperature(°C)	Air_Pressure(mbar)	Humidity(%RH)	Time(s)		Status	dphi(°)	Intensity(mV)	Ambient_Light(mV)	Case_Temperature(°C)
1	2019-04-29 15:14:47	20.532		14.77	14.77	1026.9	44.7	0		64	21.871	209.7	-5.5	18.02
2	2019-04-29 15:14:52	20.041		15.28	15.28	1026.9	44.8	5		64	22.088	209.0	-13.9	18.07
3	2019-04-29 15:14:57	18.161		15.60	15.60	1027.0	44.8	10		64	23.196	217.1	-14.0	18.12
4	2019-04-29 15:15:02	16.628		15.83	15.83	1026.8	44.9	15		64	24.211	229.2	-13.9	18.16
5	2019-04-29 15:15:07	15.309		16.02	16.02	1026.9	45.3	20		64	25.174	247.2	-13.7	18.20
6	2019-04-29 15:15:12	14.169		16.17	16.17	1026.9	45.3	25		64	26.085	258.9	-13.8	18.25
7	2019-04-29 15:15:17	13.185		16.24	16.24	1026.9	45.1	30		64	26.947	266.9	-13.9	18.29
8	2019-04-29 15:15:22	12.421		15.58	15.58	1026.9	45.0	35		64	27.758	275.6	-13.8	18.33
9	2019-04-29 15:15:27	11.696		15.27	15.27	1026.9	45.1	40		64	28.527	283.9	-14.1	18.36
10	2019-04-29 15:15:32	11.026		15.09	15.09	1026.8	45.3	45		64	29.269	291.5	-14.0	18.39
11	2019-04-29 15:15:37	10.433		14.92	14.92	1026.8	45.3	50		64	29.960	299.0	-14.1	18.42
12	2019-04-29 15:15:42	9.886		14.84	14.84	1026.9	45.4	55		64	30.621	306.2	-14.0	18.45
13	2019-04-29 15:15:47	9.385		14.79	14.79	1026.9	45.3	60		64	31.253	312.7	-14.1	18.46
14	2019-04-29 15:15:52	8.940		14.74	14.74	1026.9	45.2	65		64	31.839	319.1	-13.9	18.49
15	2019-04-29 15:15:57	8.534		14.72	14.72	1026.9	45.1	70		64	32.393	325.0	-14.0	18.50
16	2019-04-29 15:16:02	8.159		14.70	14.70	1026.9	45.1	75		64	32.926	330.4	-13.8	18.51
17	2019-04-29 15:16:07	7.820		14.69	14.69	1026.8	45.3	80		64	33.427	335.6	-13.8	18.52
18	2019-04-29 15:16:12	7.511		14.68	14.68	1026.9	45.2	85		64	33.894	340.6	-13.9	18.53
19	2019-04-29 15:16:17	7.224		14.68	14.68	1026.8	45.0	90		64	34.344	345.3	-14.2	18.53
20	2019-04-29 15:16:22	6.964		14.68	14.68	1026.9	44.9	95		64	34.763	349.5	-14.0	18.54
21	2019-04-29 15:16:27	6.715		14.68	14.68	1026.9	44.9	100		64	35.177	353.6	-13.9	18.54
22	2019-04-29 15:16:32	6.501		14.68	14.68	1026.8	44.8	105		64	35.540	357.6	-13.8	18.54
23	2019-04-29 15:16:37	6.295		14.68	14.68	1026.8	44.8	110		64	35.897	361.1	-13.7	18.54
24	2019-04-29 15:16:42	6.104		14.68	14.68	1026.8	44.7	115		64	36.237	364.5	-13.9	18.53
25	2019-04-29 15:16:47	5.936		14.68	14.68	1026.9	44.7	120		64	36.542	367.6	-14.0	18.53
26	2019-04-29 15:16:52	5.773		14.68	14.68	1026.9	44.6	125		64	36.844	370.6	-13.9	18.52
27	2019-04-29 15:16:57	5.627		14.69	14.69	1026.9	44.5	130		64	37.118	373.5	-14.1	18.51
28	2019-04-29 15:17:02	5.489		14.69	14.69	1026.9	44.3	135		64	37.382	375.9	-13.8	18.50
29	2019-04-29 15:17:07	5.359		14.68	14.68	1026.8	44.2	140		64	37.638	378.6	-13.9	18.50
30	2019-04-29 15:17:12	5.244		14.68	14.68	1026.9	44.2	145		64	37.863	380.7	-14.1	18.47
31	2019-04-29 15:17:17	5.128		14.68	14.68	1026.8	44.3	150		64	38.096	382.9	-13.8	18.46
32	2019-04-29 15:17:22	5.027		14.68	14.68	1026.8	44.3	155		64	38.302	385.0	-14.0	18.45
33	2019-04-29 15:17:27	4.931		14.69	14.69	1026.9	44.3	160		64	38.498	386.7	-13.7	18.44
34	2019-04-29 15:17:32	4.840		14.68	14.68	1026.8	44.2	165		64	38.691	388.7	-13.9	18.41
35	2019-04-29 15:17:37	4.755		14.67	14.67	1026.9	44.2	170		64	38.867	390.5	-13.9	18.39
36	2019-04-29 15:17:42	4.673		14.67	14.67	1026.8	44.1	175		64	39.043	392.2	-13.9	18.40
37	2019-04-29 15:17:47	4.602		14.66	14.66	1026.8	44.1	180		64	39.196	393.8	-13.7	18.38
38	2019-04-29 15:17:52	4.534		14.66	14.66	1026.8	44.1	185		64	39.342	395.3	-14.1	18.37
39	2019-04-29 15:17:57	4.465		14.66	14.66	1026.8	44.0	190		64	39.494	396.8	-14.1	18.35
40	2019-04-29 15:18:02	4.406		14.65	14.65	1026.8	44.0	195		64	39.624	398.3	-13.9	18.35
41	2019-04-29 15:18:07	4.347		14.65	14.65	1026.7	44.1	200		64	39.755	399.5	-13.8	18.33
42	2019-04-29 15:18:12	4.288		14.64	14.64	1026.8	44.3	205		64	39.888	400.8	-14.0	18.32
43	2019-04-29 15:18:17	4.240		14.64	14.64	1026.8	44.3	210		64	39.996	401.8	-13.8	18.32
44	2019-04-29 15:18:22	4.191		14.63	14.63	1026.8	44.3	215		64	40.108	402.9	-14.2	18.31
45	2019-04-29 15:18:27	4.149		14.62	14.62	1026.8	44.2	220		64	40.205	403.9	-14.1	18.29
46	2019-04-29 15:18:32	4.102		14.62	14.62	1026.8	44.2	225		64	40.312	405.0	-14.1	18.28
47	2019-04-29 15:18:37	4.060		14.62	14.62	1026.8	44.2	230		64	40.410	405.8	-13.9	18.27
48	2019-04-29 15:18:42	4.017		14.61	14.61	1026.8	44.2	235		64	40.509	407.0	-13.9	18.25
49	2019-04-29 15:18:47	3.979		14.60	14.60	1026.9	44.2	240		64	40.598	408.3	-14.0	18.24
50	2019-04-29 15:18:52	3.945		14.60	14.60	1026.8	44.3	245		64	40.679	408.8	-14.0	18.22
51	2019-04-29 15:18:57	3.911		14.60	14.60	1026.8	44.3	250		64	40.757	409.7	-13.8	18.20
52	2019-04-29 15:19:02	3.876		14.60	14.60	1026.8	44.1	255		64	40.842	410.5	-14.1	18.19
53	2019-04-29 15:19:07	3.844		14.59	14.59	1026.8	44.1	260		64	40.918	411.2	-14.0	18.19
54	2019-04-29 15:19:12	3.811		14.59	14.59	1026.8	44.1	265		64	40.996	411.7	-13.8	18.16
55	2019-04-29 15:19:17	3.785		14.59	14.59	1026.8	44.1	270		64	41.060	412.5	-13.9	18.14
56	2019-04-29 15:19:22	3.754		14.59	14.59	1026.8	44.1	275		64	41.133	413.3	-13.9	18.12
57	2019-04-29 15:19:27	3.731		14.58	14.58	1026.8	44.0	280		64	41.189	414.1	-13.9	18.11
