Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	V1_IV	V2_IV	
* 1	2020-05-21 13:12:51	1		3.0247	4	-1.30092			
* 2	2020-05-21 13:14:16	2		2.87939	4	-1.31264			
* 3	2020-05-21 13:16:10	1		3.33379	2	-1.20576			
* 4	2020-05-21 13:17:36	2		2.60816	2	-1.09571			
* 5	2020-05-21 13:19:28	1		2.49156	3	-0.95591			
* 6	2020-05-21 13:20:54	2		2.40777	3	-0.93393			
* 7	2020-05-21 13:22:38	1		4.13401	1	-1.19699			
* 8	2020-05-21 13:24:03	2		3.5149	1	-1.2092			
* 9	2020-05-21 13:25:48	1		2.91526	6	-1.05305			
* 10	2020-05-21 13:27:14	2		3.19535	6	-1.14514			
* 11	2020-05-21 13:28:49	1		2.98445	7	-1.65599			
* 12	2020-05-21 13:30:15	2		2.60109	7	-1.62275			
* 13	2020-05-21 13:31:54	1		2.5017	8	-1.66938			
* 14	2020-05-21 13:33:19	2		2.39228	8	-1.71433			
* 15	2020-05-21 13:34:57	1		5.13676	5	-2.56504			
* 16	2020-05-21 13:36:23	2		6.00734	5	-2.48818			
* 17	2020-05-21 13:38:05	1		2.41663	11	-0.604426			
* 18	2020-05-21 13:39:31	2		2.54492	11	-0.638494			
* 19	2020-05-21 13:41:07	1		3.21375	9	-0.482552			
* 20	2020-05-21 13:42:34	2		3.6792	9	-0.516417			
* 21	2020-05-21 13:44:13	1		2.90625	12	-0.52235			
* 22	2020-05-21 13:45:39	2		2.86153	12	-0.521892			
* 23	2020-05-21 13:47:20	1		2.74333	10	-0.667742			
* 24	2020-05-21 13:48:45	2		3.10639	10	-0.677611			
* 25	2020-05-21 13:50:48	1		1.98498	16	-0.922968			
* 26	2020-05-21 13:52:13	2		0	16	0			
* 27	2020-05-21 13:53:52	1		2.29717	15	-1.03032			
* 28	2020-05-21 13:55:18	2		2.0799	15	-1.06606			
* 29	2020-05-21 13:56:58	1		3.85249	14	-0.823421			
